Date,price
02/14/2025,447.39
02/13/2025,447.39
02/12/2025,447.39
02/11/2025,447.49
02/10/2025,447.49
02/07/2025,447.49
02/06/2025,447.49
02/05/2025,447.49
02/04/2025,447.58
02/03/2025,447.58
01/31/2025,447.58
01/30/2025,447.58
01/29/2025,447.58
01/28/2025,447.65
01/27/2025,447.65
01/24/2025,447.65
01/23/2025,447.65
01/22/2025,447.65
01/21/2025,447.1
01/17/2025,447.1
01/16/2025,447.1
01/15/2025,447.1
01/14/2025,441.28
01/13/2025,441.28
01/10/2025,441.28
01/08/2025,441.28
01/07/2025,428.45
01/06/2025,428.45
01/03/2025,428.45
01/02/2025,420.58
12/31/2024,420.58
12/30/2024,420.58
12/27/2024,420.58
12/26/2024,420.58
12/24/2024,420.4
12/23/2024,420.4
12/20/2024,420.4
12/19/2024,420.4
12/18/2024,420.4
12/17/2024,420.24
12/16/2024,420.24
12/13/2024,420.24
12/12/2024,420.24
12/11/2024,420.24
12/10/2024,417.46
12/09/2024,417.46
12/06/2024,417.46
12/05/2024,417.46
12/04/2024,417.46
12/03/2024,410.17
12/02/2024,410.17
11/29/2024,410.17
11/27/2024,410.17
11/26/2024,405.51
11/25/2024,405.51
11/22/2024,405.51
11/21/2024,405.51
11/20/2024,405.51
11/19/2024,403.28
11/18/2024,403.28
11/15/2024,403.28
11/14/2024,403.28
11/13/2024,403.28
11/12/2024,397.57
11/11/2024,397.57
11/08/2024,397.57
11/07/2024,397.57
11/06/2024,397.57
11/05/2024,394.37
11/04/2024,394.37
11/01/2024,394.37
10/31/2024,394.37
10/30/2024,394.37
10/29/2024,393.91
10/28/2024,393.91
10/25/2024,393.91
10/24/2024,393.91
10/23/2024,393.91
10/22/2024,399.84
10/21/2024,399.84
10/18/2024,399.84
10/17/2024,399.84
10/16/2024,399.84
10/15/2024,420.65
10/14/2024,420.65
10/11/2024,420.65
10/10/2024,420.65
10/09/2024,420.65
10/08/2024,431.37
10/07/2024,431.37
10/04/2024,431.37
10/03/2024,431.37
10/02/2024,431.37
10/01/2024,431.69
09/30/2024,431.69
09/27/2024,431.69
09/26/2024,431.69
09/25/2024,431.69
09/24/2024,432.06
09/23/2024,432.06
09/20/2024,432.06
09/19/2024,432.06
09/18/2024,432.06
09/17/2024,432.21
09/16/2024,432.21
09/13/2024,432.21
09/12/2024,432.21
09/11/2024,432.21
09/10/2024,432.41
09/09/2024,432.41
09/06/2024,432.41
09/05/2024,432.41
09/04/2024,432.41
09/03/2024,437.29
08/30/2024,437.29
08/29/2024,437.29
08/28/2024,437.29
08/27/2024,444.87
08/26/2024,444.87
08/23/2024,444.87
08/22/2024,444.87
08/21/2024,444.87
08/20/2024,442.73
08/19/2024,442.73
08/16/2024,442.73
08/15/2024,442.73
08/14/2024,442.73
08/13/2024,440.1
08/12/2024,440.1
08/09/2024,440.1
08/08/2024,440.1
08/07/2024,440.1
08/06/2024,429.86
08/05/2024,429.86
08/02/2024,429.86
08/01/2024,429.86
07/31/2024,429.86
07/30/2024,417.58
07/29/2024,417.58
07/26/2024,417.58
07/25/2024,417.58
07/24/2024,417.58
07/23/2024,408.06
07/22/2024,408.06
07/19/2024,408.06
07/18/2024,408.06
07/17/2024,408.06
07/16/2024,382.93
07/15/2024,382.93
07/12/2024,382.93
07/11/2024,382.93
07/10/2024,382.93
07/09/2024,346.68
07/08/2024,346.68
07/05/2024,346.68
07/03/2024,346.68
07/02/2024,337.14
07/01/2024,337.14
06/28/2024,337.14
06/27/2024,337.14
06/26/2024,337.14
06/25/2024,309.6
06/24/2024,309.6
06/21/2024,309.6
06/20/2024,309.6
06/18/2024,287.74
06/17/2024,287.74
06/14/2024,287.74
06/13/2024,287.74
06/12/2024,287.74
06/11/2024,260.98
06/10/2024,260.98
06/07/2024,260.98
06/06/2024,260.98
06/05/2024,260.98
06/04/2024,238.9
06/03/2024,238.9
05/31/2024,238.9
05/30/2024,238.9
05/29/2024,238.9
05/28/2024,225.81
05/24/2024,225.81
05/23/2024,225.81
05/22/2024,225.81
05/21/2024,197.86
05/20/2024,197.86
05/17/2024,197.86
05/16/2024,197.86
05/15/2024,197.86
05/14/2024,197.5
05/13/2024,197.5
05/10/2024,197.5
05/09/2024,197.5
05/08/2024,197.5
05/07/2024,197.14
05/06/2024,197.14
05/03/2024,197.14
05/02/2024,197.14
05/01/2024,197.14
04/30/2024,196.79
04/29/2024,196.79
04/26/2024,196.79
04/25/2024,196.79
04/24/2024,196.79
04/23/2024,194.7
04/22/2024,194.7
04/19/2024,194.7
04/18/2024,194.7
04/17/2024,194.7
04/16/2024,190.49
04/15/2024,190.49
04/12/2024,190.49
04/11/2024,190.49
04/10/2024,190.49
04/09/2024,215.92
04/08/2024,215.92
04/05/2024,215.92
04/04/2024,215.92
04/03/2024,215.92
04/02/2024,215.84
04/01/2024,215.84
03/28/2024,215.84
03/27/2024,215.84
03/26/2024,216.8
03/25/2024,216.8
03/22/2024,216.8
03/21/2024,216.8
03/20/2024,216.8
03/19/2024,216.27
03/18/2024,216.27
03/15/2024,216.27
03/14/2024,216.27
03/13/2024,216.27
03/12/2024,210.44
03/11/2024,210.44
03/08/2024,210.44
03/07/2024,210.44
03/06/2024,210.44
03/05/2024,210.44
03/04/2024,210.44
03/01/2024,210.44
02/29/2024,210.44
02/28/2024,210.44
02/27/2024,210.48
02/26/2024,210.48
02/23/2024,210.48
02/22/2024,210.48
02/21/2024,210.48
02/20/2024,210.54
02/16/2024,210.54
02/15/2024,210.54
02/14/2024,210.54
02/13/2024,210.6
02/12/2024,210.6
02/09/2024,210.6
02/08/2024,210.6
02/07/2024,210.6
02/06/2024,207.99
02/05/2024,207.99
02/02/2024,207.99
02/01/2024,207.99
01/31/2024,207.99
01/30/2024,202.3
01/29/2024,202.3
01/26/2024,202.3
01/25/2024,202.3
01/24/2024,202.3
01/23/2024,202.11
01/22/2024,202.11
01/19/2024,202.11
01/18/2024,202.11
01/17/2024,202.11
01/16/2024,203.45
01/12/2024,203.45
01/11/2024,203.45
01/10/2024,203.45
01/09/2024,194.81
01/08/2024,194.81
01/05/2024,194.81
01/04/2024,194.81
01/03/2024,194.81
01/02/2024,194.64
12/29/2023,194.64
12/28/2023,194.64
12/27/2023,194.64
12/26/2023,194.55
12/22/2023,194.55
12/21/2023,194.55
12/20/2023,194.55
12/19/2023,194.48
12/18/2023,194.48
12/15/2023,194.48
12/14/2023,194.48
12/13/2023,194.48
12/12/2023,194.58
12/11/2023,194.58
12/08/2023,194.58
12/07/2023,194.58
12/06/2023,194.58
12/05/2023,194.84
12/04/2023,194.84
12/01/2023,194.84
11/30/2023,194.84
11/29/2023,194.84
11/28/2023,195.25
11/27/2023,195.25
11/24/2023,195.25
11/22/2023,195.25
11/21/2023,195.48
11/20/2023,195.48
11/17/2023,195.48
11/16/2023,195.48
11/15/2023,195.48
11/14/2023,195.94
11/13/2023,195.94
11/10/2023,195.94
11/09/2023,195.94
11/08/2023,195.94
11/07/2023,196.23
11/06/2023,196.23
11/03/2023,196.23
11/02/2023,196.23
11/01/2023,196.23
10/31/2023,194.62
10/30/2023,194.62
10/27/2023,194.62
10/26/2023,194.62
10/25/2023,194.62
10/24/2023,194.71
10/23/2023,194.71
10/20/2023,194.71
10/19/2023,194.71
10/18/2023,194.71
10/17/2023,192.89
10/16/2023,192.89
10/13/2023,192.89
10/12/2023,192.89
10/11/2023,192.89
10/10/2023,195.11
10/09/2023,195.11
10/06/2023,195.11
10/05/2023,195.11
10/04/2023,195.11
10/03/2023,196.44
10/02/2023,196.44
09/29/2023,196.44
09/28/2023,196.44
09/27/2023,196.44
09/26/2023,192.97
09/25/2023,192.97
09/22/2023,192.97
09/21/2023,192.97
09/20/2023,192.97
09/19/2023,188.25
09/18/2023,188.25
09/15/2023,188.25
09/14/2023,188.25
09/13/2023,188.25
09/12/2023,181.45
09/11/2023,181.45
09/08/2023,181.45
09/07/2023,181.45
09/06/2023,181.45
09/05/2023,171.14
09/01/2023,171.14
08/31/2023,171.14
08/30/2023,171.14
08/29/2023,168.23
08/28/2023,168.23
08/25/2023,168.23
08/24/2023,168.23
08/23/2023,168.23
08/22/2023,161.46
08/21/2023,161.46
08/18/2023,161.46
08/17/2023,161.46
08/16/2023,161.46
08/15/2023,160.84
08/14/2023,160.84
08/11/2023,160.84
08/10/2023,160.84
08/09/2023,160.84
08/08/2023,157.64
08/07/2023,157.64
08/04/2023,157.64
08/03/2023,157.64
08/02/2023,157.64
08/01/2023,156.11
07/31/2023,156.11
07/28/2023,156.11
07/27/2023,156.11
07/26/2023,156.11
07/25/2023,158.68
07/24/2023,158.68
07/21/2023,158.68
07/20/2023,158.68
07/19/2023,158.68
07/18/2023,160.72
07/17/2023,160.72
07/14/2023,160.72
07/13/2023,160.72
07/12/2023,160.72
07/11/2023,176.67
07/10/2023,176.67
07/07/2023,176.67
07/06/2023,176.67
07/05/2023,176.67
07/03/2023,188.97
06/30/2023,188.97
06/29/2023,188.97
06/28/2023,188.97
06/27/2023,211.34
06/26/2023,211.34
06/23/2023,211.34
06/22/2023,211.34
06/21/2023,211.34
06/20/2023,312.99
06/16/2023,312.99
06/15/2023,312.99
06/14/2023,312.99
06/13/2023,456.8
06/12/2023,456.8
06/09/2023,456.8
06/08/2023,456.8
06/07/2023,456.8
06/06/2023,463.66
06/05/2023,463.66
06/02/2023,463.66
06/01/2023,463.66
05/31/2023,463.66
05/30/2023,487.31
05/26/2023,487.31
05/25/2023,487.31
05/24/2023,487.31
05/23/2023,555.8
05/22/2023,555.8
05/19/2023,555.8
05/18/2023,555.8
05/17/2023,555.8
05/16/2023,653.14
05/15/2023,653.14
05/12/2023,653.14
05/11/2023,653.14
05/10/2023,653.14
05/09/2023,786.95
05/08/2023,786.95
05/05/2023,786.95
05/04/2023,786.95
05/03/2023,786.95
05/02/2023,804.67
05/01/2023,804.67
04/28/2023,804.67
04/27/2023,804.67
04/26/2023,804.67
04/25/2023,839.01
04/24/2023,839.01
04/21/2023,839.01
04/20/2023,839.01
04/19/2023,839.01
04/18/2023,905.5
04/17/2023,905.5
04/14/2023,905.5
04/13/2023,905.5
04/12/2023,905.5
04/11/2023,948.9
04/10/2023,948.9
04/06/2023,948.9
04/05/2023,948.9
04/04/2023,1021.9
04/03/2023,1021.9
03/31/2023,1021.9
03/30/2023,1021.9
03/29/2023,1021.9
03/28/2023,976.94
03/27/2023,976.94
03/24/2023,976.94
03/23/2023,976.94
03/22/2023,976.94
03/21/2023,986.81
03/20/2023,986.81
03/17/2023,986.81
03/16/2023,986.81
03/15/2023,986.81
03/14/2023,996.52
03/13/2023,996.52
03/10/2023,996.52
03/09/2023,996.52
03/08/2023,996.52
03/07/2023,1006.03
03/06/2023,1006.03
03/03/2023,1006.03
03/02/2023,1006.03
03/01/2023,1006.03
02/28/2023,1015.47
02/27/2023,1015.47
02/24/2023,1015.47
02/23/2023,1015.47
02/22/2023,1015.47
02/21/2023,1024.58
02/17/2023,1024.58
02/16/2023,1024.58
02/15/2023,1024.58
02/14/2023,1029.86
02/13/2023,1029.86
02/10/2023,1029.86
02/09/2023,1029.86
02/08/2023,1029.86
02/07/2023,1029
02/06/2023,1029
02/03/2023,1029
02/02/2023,1029
02/01/2023,1029
01/31/2023,1026.38
01/30/2023,1026.38
01/27/2023,1026.38
01/26/2023,1026.38
01/25/2023,1026.38
01/24/2023,1020.01
01/23/2023,1020.01
01/20/2023,1020.01
01/19/2023,1020.01
01/18/2023,1020.01
01/17/2023,1016.23
01/13/2023,1016.23
01/12/2023,1016.23
01/11/2023,1016.23
01/10/2023,1128.73
01/09/2023,1128.73
01/06/2023,1128.73
01/05/2023,1128.73
01/04/2023,1128.73
01/03/2023,1031.68
12/30/2022,1031.68
12/29/2022,1031.68
12/28/2022,1031.68
12/27/2022,989.62
12/23/2022,989.62
12/22/2022,989.62
12/21/2022,989.62
12/20/2022,988.62
12/19/2022,988.62
12/16/2022,988.62
12/15/2022,988.62
12/14/2022,988.62
12/13/2022,987.67
12/12/2022,987.67
12/09/2022,987.67
12/08/2022,987.67
12/07/2022,987.67
12/06/2022,985.96
12/05/2022,985.96
12/02/2022,985.96
12/01/2022,985.96
11/30/2022,985.96
11/29/2022,984.54
11/28/2022,984.54
11/25/2022,984.54
11/23/2022,984.54
11/22/2022,978.54
11/21/2022,978.54
11/18/2022,978.54
11/17/2022,978.54
11/16/2022,978.54
11/15/2022,971.36
11/14/2022,971.36
11/11/2022,971.36
11/10/2022,971.36
11/09/2022,971.36
11/08/2022,991.73
11/07/2022,991.73
11/04/2022,991.73
11/03/2022,991.73
11/02/2022,991.73
11/01/2022,1003.22
10/31/2022,1003.22
10/28/2022,1003.22
10/27/2022,1003.22
10/26/2022,1003.22
10/25/2022,1028.86
10/24/2022,1028.86
10/21/2022,1028.86
10/20/2022,1028.86
10/19/2022,1028.86
10/18/2022,1049.77
10/17/2022,1049.77
10/14/2022,1049.77
10/13/2022,1049.77
10/12/2022,1049.77
10/11/2022,1214.51
10/10/2022,1214.51
10/07/2022,1214.51
10/06/2022,1214.51
10/05/2022,1214.51
10/04/2022,1242.79
10/03/2022,1242.79
09/30/2022,1242.79
09/29/2022,1242.79
09/28/2022,1242.79
09/27/2022,1252.54
09/26/2022,1252.54
09/23/2022,1252.54
09/22/2022,1252.54
09/21/2022,1252.54
09/20/2022,1282.07
09/19/2022,1282.07
09/16/2022,1282.07
09/15/2022,1282.07
09/14/2022,1282.07
09/13/2022,1273.73
09/12/2022,1273.73
09/09/2022,1273.73
09/08/2022,1273.73
09/07/2022,1273.73
09/06/2022,1242.74
09/02/2022,1242.74
09/01/2022,1242.74
08/31/2022,1242.74
